,Source,Production,dayOfYear,dayName,monthName,Total_time
0,Solar,244.0,204,Wednesday,July,1
1,Solar,223.0,205,Thursday,July,1
2,Solar,2517.0,205,Thursday,July,1
3,Solar,658.0,205,Thursday,July,1
4,Solar,0.0,205,Thursday,July,1
5,Solar,0.0,206,Friday,July,1
6,Solar,0.0,206,Friday,July,1
7,Solar,0.0,206,Friday,July,1
8,Solar,2708.0,206,Friday,July,1
9,Solar,3851.0,206,Friday,July,1
10,Solar,3261.0,206,Friday,July,1
11,Solar,0.0,206,Friday,July,1
12,Solar,0.0,207,Saturday,July,1
13,Solar,13.0,207,Saturday,July,1
14,Solar,220.0,207,Saturday,July,1
15,Solar,908.0,207,Saturday,July,1
16,Solar,2598.0,207,Saturday,July,1
17,Solar,15.0,207,Saturday,July,1
18,Solar,2.0,207,Saturday,July,1
19,Solar,0.0,208,Sunday,July,1
20,Solar,8.0,208,Sunday,July,1
21,Solar,3301.0,208,Sunday,July,1
22,Solar,3075.0,208,Sunday,July,1
23,Solar,1843.0,208,Sunday,July,1
24,Solar,3.0,208,Sunday,July,1
25,Solar,2.0,208,Sunday,July,1
26,Solar,200.0,209,Monday,July,1
27,Solar,1.0,210,Tuesday,July,1
28,Solar,148.0,210,Tuesday,July,1
29,Solar,16.0,210,Tuesday,July,1
30,Solar,1.0,211,Wednesday,July,1
31,Solar,817.0,211,Wednesday,July,1
32,Solar,1757.0,211,Wednesday,July,1
33,Solar,3811.0,211,Wednesday,July,1
34,Solar,1.0,212,Thursday,July,1
35,Solar,0.0,212,Thursday,July,1
36,Solar,191.0,212,Thursday,July,1
37,Solar,851.0,212,Thursday,July,1
38,Solar,194.0,212,Thursday,July,1
39,Solar,1.0,212,Thursday,July,1
40,Solar,0.0,213,Friday,July,1
41,Solar,3117.0,213,Friday,July,1
42,Solar,3684.0,213,Friday,July,1
43,Solar,3428.0,213,Friday,July,1
44,Solar,1663.0,213,Friday,July,1
357,Solar,0.0,214,Saturday,August,1
360,Solar,0.0,214,Saturday,August,1
363,Solar,1365.0,214,Saturday,August,1
