,Source,Production,dayOfYear,dayName,monthName,Total_time
45,Wind,2073.0,214,Saturday,August,1
46,Wind,1742.0,214,Saturday,August,1
47,Wind,1185.0,214,Saturday,August,1
48,Wind,1544.0,214,Saturday,August,1
49,Wind,3919.0,214,Saturday,August,1
50,Wind,2603.0,215,Sunday,August,1
51,Wind,3175.0,215,Sunday,August,1
52,Wind,3320.0,215,Sunday,August,1
53,Wind,3164.0,215,Sunday,August,1
54,Wind,1811.0,216,Monday,August,1
55,Wind,1685.0,216,Monday,August,1
56,Wind,1480.0,216,Monday,August,1
57,Wind,3803.0,216,Monday,August,1
58,Wind,1936.0,217,Tuesday,August,1
59,Wind,1650.0,217,Tuesday,August,1
60,Wind,1291.0,217,Tuesday,August,1
61,Wind,1743.0,217,Tuesday,August,1
62,Wind,1722.0,217,Tuesday,August,1
63,Wind,1210.0,218,Wednesday,August,1
64,Wind,1792.0,218,Wednesday,August,1
65,Wind,1432.0,218,Wednesday,August,1
66,Wind,2027.0,218,Wednesday,August,1
67,Wind,1324.0,219,Thursday,August,1
68,Wind,1211.0,219,Thursday,August,1
69,Wind,392.0,219,Thursday,August,1
70,Wind,261.0,219,Thursday,August,1
71,Wind,361.0,219,Thursday,August,1
72,Wind,283.0,219,Thursday,August,1
73,Wind,574.0,219,Thursday,August,1
74,Wind,809.0,220,Friday,August,1
75,Wind,855.0,220,Friday,August,1
76,Wind,708.0,220,Friday,August,1
77,Wind,372.0,220,Friday,August,1
78,Wind,1647.0,220,Friday,August,1
79,Wind,1881.0,221,Saturday,August,1
80,Wind,1303.0,221,Saturday,August,1
81,Wind,1014.0,221,Saturday,August,1
82,Wind,393.0,221,Saturday,August,1
83,Wind,400.0,221,Saturday,August,1
84,Wind,344.0,221,Saturday,August,1
85,Wind,332.0,221,Saturday,August,1
86,Wind,1903.0,222,Sunday,August,1
87,Wind,1259.0,222,Sunday,August,1
88,Wind,341.0,222,Sunday,August,1
89,Wind,745.0,222,Sunday,August,1
90,Wind,4359.0,222,Sunday,August,1
91,Wind,3735.0,223,Monday,August,1
92,Wind,2581.0,223,Monday,August,1
93,Wind,2237.0,223,Monday,August,1
94,Wind,1605.0,223,Monday,August,1
95,Wind,1392.0,223,Monday,August,1
96,Wind,1023.0,223,Monday,August,1
97,Wind,858.0,223,Monday,August,1
98,Wind,680.0,223,Monday,August,1
99,Wind,1618.0,224,Tuesday,August,1
100,Wind,1682.0,224,Tuesday,August,1
101,Wind,1538.0,224,Tuesday,August,1
102,Wind,836.0,224,Tuesday,August,1
103,Wind,793.0,224,Tuesday,August,1
104,Wind,571.0,224,Tuesday,August,1
